"","postcode","n"
"600","7008",4
"601","7120",4
"602","7170",4
"603","7215",4
"604","7260",4
"605","7304",4
"606","820",4
"607","0831",3
"608","0836",3
"609","0845",3
"610","2039",3
"611","2094",3
"612","2095",3
"613","2110",3
"614","2128",3
"615","2158",3
"616","2198",3
"617","2221",3
"618","2227",3
"619","2337",3
"620","2448",3
"621","2483",3
"622","2489",3
"623","2517",3
"624","2535",3
"625","2550",3
"626","2570",3
"627","2575",3
"628","2576",3
"629","2600",3
"630","2621",3
"631","2663",3
"632","2666",3
"633","2701",3
"634","2720",3
"635","2749",3
"636","2780",3
"637","2871",3
"638","3008",3
"639","3038",3
"640","3049",3
"641","3054",3
"642","3058",3
"643","3059",3
"644","3066",3
"645","3095",3
"646","3101",3
"647","3106",3
"648","3123",3
"649","3124",3
"650","3128",3
"651","3132",3
"652","3142",3
"653","3146",3
"654","3167",3
"655","3170",3
"656","3172",3
"657","3174",3
"658","3177",3
"659","3190",3
"660","3192",3
"661","3201",3
"662","3204",3
"663","3212",3
"664","3217",3
"665","3223",3
"666","3340",3
"667","3630",3
"668","3677",3
"669","3804",3
"670","3807",3
"671","3820",3
"672","3975",3
"673","4010",3
"674","4022",3
"675","4036",3
"676","4061",3
"677","4074",3
"678","4108",3
"679","4164",3
"680","4173",3
"681","4519",3
"682","4520",3
"683","4550",3
"684","4552",3
"685","4556",3
"686","4566",3
"687","4567",3
"688","4573",3
"689","4703",3
"690","4715",3
"691","4812",3
"692","4820",3
"693","4879",3
"694","4883",3
"695","5019",3
"696","5024",3
"697","5031",3
"698","5042",3
"699","5085",3
"700","5113",3
"701","5115",3
"702","5253",3
"703","6016",3
"704","6020",3
"705","6031",3
"706","6053",3
"707","6059",3
"708","6102",3
"709","6122",3
"710","6149",3
"711","6150",3
"712","6151",3
"713","6152",3
"714","6169",3
"715","6172",3
"716","6285",3
"717","6430",3
"718","6714",3
"719","6726",3
"720","7007",3
"721","7052",3
"722","7054",3
"723","7109",3
"724","7112",3
"725","7252",3
"726","7275",3
"727","7300",3
"728","7302",3
"729","7303",3
"730","7306",3
"731","7307",3
"732","7316",3
"733","0838",2
"734","0852",2
"735","0860",2
"736","0886",2
"737","2027",2
"738","2028",2
"739","2043",2
"740","2045",2
"741","2052",2
"742","2079",2
"743","2080",2
"744","2081",2
"745","2084",2
"746","2085",2
"747","2090",2
"748","2102",2
"749","2179",2
"750","2197",2
"751","2208",2
"752","2258",2
"753","2265",2
"754","2282",2
"755","2292",2
"756","2294",2
"757","2297",2
"758","2319",2
"759","2352",2
"760","2431",2
"761","2445",2
"762","2446",2
"763","2456",2
"764","2479",2
"765","2481",2
"766","2516",2
"767","2540",2
"768","2571",2
"769","2581",2
"770","2583",2
"771","2590",2
"772","2618",2
"773","2652",2
"774","2660",2
"775","2678",2
"776","2700",2
"777","2748",2
"778","2754",2
"779","2758",2
"780","2773",2
"781","2787",2
"782","2821",2
"783","2825",2
"784","2834",2
"785","2845",2
"786","2850",2
"787","2866",2
"788","2911",2
"789","3006",2
"790","3018",2
"791","3031",2
"792","3039",2
"793","3042",2
"794","3043",2
"795","3048",2
"796","3057",2
"797","3060",2
"798","3074",2
"799","3081",2
"800","3084",2
"801","3087",2
"802","3094",2
"803","3108",2
"804","3126",2
"805","3131",2
"806","3135",2
"807","3138",2
"808","3145",2
"809","3156",2
"810","3161",2
"811","3169",2
"812","3171",2
"813","3185",2
"814","3187",2
"815","3198",2
"816","3218",2
"817","3222",2
"818","3224",2
"819","3250",2
"820","3352",2
"821","3355",2
"822","3434",2
"823","3465",2
"824","3551",2
"825","3555",2
"826","3556",2
"827","3585",2
"828","3752",2
"829","3757",2
"830","3797",2
"831","3808",2
"832","3880",2
"833","3888",2
"834","3931",2
"835","3940",2
"836","3981",2
"837","4000",2
"838","4076",2
"839","4102",2
"840","4105",2
"841","4110",2
"842","4112",2
"843","4119",2
"844","4123",2
"845","4128",2
"846","4156",2
"847","4160",2
"848","4161",2
"849","4174",2
"850","4225",2
"851","4271",2
"852","4285",2
"853","4303",2
"854","4304",2
"855","4307",2
"856","4341",2
"857","4401",2
"858","4470",2
"859","4507",2
"860","4561",2
"861","4565",2
"862","4572",2
"863","4800",2
"864","4806",2
"865","4825",2
"866","4876",2
"867","5000",2
"868","5007",2
"869","5011",2
"870","5016",2
"871","5021",2
"872","5023",2
"873","5033",2
"874","5051",2
"875","5063",2
"876","5069",2
"877","5087",2
"878","5109",2
"879","5161",2
"880","5245",2
"881","5540",2
"882","5600",2
"883","5606",2
"884","5725",2
"885","6005",2
"886","6006",2
"887","6011",2
"888","6017",2
"889","6028",2
"890","6036",2
"891","6063",2
"892","6078",2
"893","6148",2
"894","6157",2
"895","6158",2
"896","6159",2
"897","6208",2
"898","6211",2
"899","6225",2
"900","6233",2
"901","6275",2
"902","6312",2
"903","6401",2
"904","6518",2
"905","7017",2
"906","7020",2
"907","7113",2
"908","7116",2
"909","7211",2
"910","7270",2
"911","7277",2
"912","7305",2
"913","7331",2
"914","830",2
"915","-",1
"916","0822",1
"917","0828",1
"918","0834",1
"919","0835",1
"920","0839",1
"921","0841",1
"922","0846",1
"923","0854",1
"924","0861",1
"925","0872",1
"926","0881",1
"927","1230",1
"928","1614",1
